model,train_time_s,accuracy,precision_macro,recall_macro,f1_macro
LogisticRegression,74.24202179908752,0.9209,0.9201297839688548,0.919654329484039,0.9197558450836432
DecisionTree,14.917600154876709,0.8771,0.8754612232768642,0.8753474036547875,0.8753537716414715
AdaBoost,69.74668192863464,0.7028,0.7089051745477145,0.6992089641731961,0.70027130477521
GradientBoosting,3510.717862844467,0.9615,0.9612251603915519,0.9612462707948124,0.9611966127407096
XGBoost,190.7037069797516,0.9785,0.978431382672565,0.9783910939903914,0.9784027453978599
