Entropy,Contrast,Energy,Homogeneity,Correlation,Dissimilarity,Average_R,Average_G,Average_B,Mean,Std Dev,Variance,Kurtosis,Skewness,Class
3.089044138,103.4844741,0.715318692,0.751991587,0.988200668,3.525075125,133.9278878,134.1246368,122.5834502,36.33367222,66.27007022,4391.722207,3.987487865,1.570457549,9
0.173447651,8.590868114,0.988954413,0.992453483,0.976619493,0.097429048,189.096533,127.7882393,71.19408566,1.148008333,13.83829255,191.4983408,166.9178368,12.60927685,3
0.444434292,8.97934335,0.96375215,0.975922835,0.951180581,0.227417919,42.65365558,38.4070179,39.99656184,1.112086111,9.721199088,94.5017117,143.8556851,11.27858714,1
0.30894961,9.69624374,0.977234571,0.982782473,0.976515451,0.248347245,72.55878806,89.17425384,93.23454929,1.565752778,14.2377282,202.7129043,125.0964209,10.52854138,0
0.892446884,12.35227045,0.926267096,0.943913228,0.989705951,0.487506956,89.28573149,84.5079894,77.35735507,5.893133333,24.6031543,605.3152017,24.68624402,4.585029853,0
0.411903348,6.405180857,0.968381824,0.97789146,0.984736894,0.194602115,82.2967033,82.65145965,55.4005994,2.044880556,14.31030397,204.7847996,60.94386003,7.47788423,5
2.328411172,33.15107958,0.785922868,0.828981582,0.995095664,1.422687813,133.6208491,135.2082645,122.4876472,27.79095833,58.06563828,3371.618349,5.08754536,1.860638425,9
1.971078586,28.28073456,0.823988147,0.855359078,0.99029677,1.371446856,118.8416186,77.22893367,85.50642952,15.33798889,39.57278943,1566.005664,9.933934311,2.742414894,3
5.2032414,84.61764051,0.451056926,0.564399297,0.990446096,3.984212577,109.9995321,108.6034468,71.01108367,56.32190556,65.75617473,4323.874516,3.161846485,1.009786895,9
0.149905395,6.401279911,0.989797789,0.992595373,0.972212392,0.118274903,82.9600271,91.2354336,87.899729,0.728427778,10.67126118,113.8758152,326.231121,17.28589295,0
5.135484184,34.56791319,0.397984712,0.674106675,0.990948526,1.674902615,84.38516054,70.20444948,78.57630406,44.40969167,44.8550466,2011.975206,2.010183945,0.484732438,4
0.790425486,24.15542014,0.93575426,0.955709536,0.987168972,0.438302727,146.1637679,114.1814684,109.4050587,6.683919444,31.31475125,980.6136459,27.33811108,4.918237601,3
4.141206247,30.61495826,0.573771493,0.716141894,0.996538962,1.685470228,116.0733562,106.5174635,113.7504979,45.82081667,67.47098849,4552.334288,2.546912148,1.069157359,6
1.748887682,29.81629939,0.844034909,0.884356203,0.994472599,0.902860323,149.8542739,128.3109502,132.9080915,19.93493333,52.76336844,2783.97305,7.835151433,2.498968479,3
0.453691629,22.88800223,0.963575951,0.972752989,0.970021608,0.406093489,99.45976577,93.75557235,75.81195693,2.756180556,19.54063627,381.836466,65.30466069,7.718639814,0
0.150733572,9.621758486,0.989769566,0.992065643,0.956618138,0.131046188,109.6916496,96.98083504,83.54449008,0.808944444,10.60386711,112.4419978,216.60734,14.2640023,0
0.347939367,21.71649972,0.972895664,0.97798613,0.987870322,0.335948804,173.2961507,179.5060687,176.1325858,4.263161111,29.85001576,891.0234407,51.05381789,7.016078644,9
2.685412697,40.72331664,0.745947858,0.814585013,0.992149411,1.358814691,92.92398726,99.41103015,102.2963065,23.73476667,50.65068209,2565.491596,8.280312468,2.391430957,2
1.387413979,82.09271007,0.879528435,0.89929935,0.972225537,1.674446299,101.4011436,100.3744849,90.13811045,10.74293333,38.39853448,1474.44745,19.9714473,4.080926182,0
4.434039702,48.2059488,0.507275248,0.707310172,0.993282595,1.347451308,98.33242872,118.5127416,58.20392455,50.20529167,57.36460632,3290.698058,1.847235038,0.541577706,8
0.918590766,33.35603784,0.926153974,0.93787965,0.986848149,0.754223706,159.7131574,121.5748942,116.4499295,9.130330556,36.4221677,1326.5743,19.62081271,4.131460926,3
2.485590577,26.51735114,0.75865157,0.847880626,0.995578808,0.936048971,171.0629662,120.9054765,40.6270817,27.83133333,55.03275778,3028.604429,4.34821239,1.686876592,2
4.236938539,67.95351141,0.570199352,0.692959625,0.992748719,2.261591541,103.9551278,121.5530607,124.1267437,46.76589722,67.36307329,4537.783643,2.466200785,1.033180206,1
2.18554088,83.6604424,0.802000475,0.827160936,0.971990444,2.620542571,76.08471938,93.64677281,91.96362181,16.53594167,38.2136833,1460.285592,8.353318113,2.390020126,9
0.393668617,10.01312187,0.970531731,0.983087221,0.984690287,0.142225932,182.7215312,101.9879768,57.66611388,2.500819444,18.88833192,356.7690827,65.17799037,7.85323441,5
5.233999199,21.73270173,0.34922445,0.603862559,0.990679838,2.106263216,34.93297451,38.24596653,45.18315584,23.9678,34.14216547,1165.687463,7.393085446,2.042348848,4
0.135891706,5.051380078,0.991355764,0.994683556,0.981150996,0.061252087,205.8588957,133.1462168,66.73415133,0.807980556,11.83949338,140.1736035,246.8361581,15.36905809,5
